code	date	time	title	speaker	break	room	floor	attention	abstract	profile
19M06	2010-08-29	13:30 - 15:30	RubyCocoa/HotCocoa(RHC) - Let's develop an application of MacOS X with Ruby -	TAKAO Kouji (Network Applied Communication Laboratory Ltd.)		Conference Room	2nd Floor		(TBA)	(TBA)
19M07	2010-08-29	13:30 - 15:30	iPhone Application Development with Ruby	Takuma Mori (UICoderz)		Conference Room	2nd Floor		You can use MacRuby or RubyCooca to development MacOSX applications, however there is no Ruby implementation for iPhone application development so far. RubyCocoa for iPhone project I started, is now running on the iPhone devices and you can write some tiny applications. I'll introduce this RubyCocoa for iPhone project and pragmatic iPhone application development techniques using it.	I'm working on the development of iPhone Applications recently. A freelance programmer.
19S04	2010-08-29	13:30 - 15:30	N-ways to distribute your Ruby desktop apps	Yutaka HARA (Network Applied Communication Laboratory Ltd.)		Conference Room	1st Floor		An 9-years Ruby programmer, living in Matsue, Shimane, Japan.	This talk will introduce the past, current, and the future of distributing desktop applications written in Ruby.
19S05	2010-08-29	13:30 - 15:30	Our tDiary's policy and strategies to support Ruby 1.9 and our future plan.	SHIBATA Hiroshi (tDiary.org)		Conference Room	1st Floor		We talk about our tDiary's policy and strategies to support Ruby 1.9. tDiary is very popular web application among Rubyist. Our tDiary has been evolving with Ruby. In January, 2009, Ruby 1.9.1 was released which we had looked forward to. We of course began to support Ruby 1.9. But we faced various type of difficulties on our way of support. To overcome these difficulties, we ploted some strategies. In this talk, we show our policy and strategies. We also show the future roadmap which we plan to do after dealing with Ruby 1.9.	Software engineer, living in Hokkaido, Japan. I became the member of the development team by keeping using tDiary.
19S06	2010-08-29	13:30 - 15:30	Haml and Sass: Solution for you who get tired of ugly markup	Keita Urashima (Eiwa System Management, Inc.)		Conference Room	1st Floor		Haml and Sass are libraries which generate HTML/CSS. They can be used combining various Web Application Frameworks. In this sesseion, I talk about how Haml/Sass makes you happy based on my experience.	(TBA)
	2010-08-29	15:30 - 16:00	Break		true					
19H06	2010-08-29	16:00 - 17:00	Re-introduction to Ruby	Shugo Maeda		Hitotsubashi Memorial Hall	2nd Floor		In the past, MRI is only implementation of Ruby and there was no need to separate specification from implementation.  However, conditions have changed now; several implementations are provided.  In this session, I will take another look at what Ruby is.	Co-chairman of the Ruby Association LLC. Director of Network Applied Communication Laboratory Ltd.
19M08	2010-08-29	16:00 - 17:00	Take the Red Pill	KAKUTANI Shintaro(Nihon Ruby-no-kai || Eiwa System Management,Inc.)		Conference Room	2nd Floor		Martin Fowler says: "they were right there in the values of Ward, Kent, and all the other people who've been advocating clean code, well-factored object-oriented design, and testability...in Ruby-land then are the orthodoxy." How about that in Ruby community in Japan? I'd like to talk about "the orthodoxy" from my perspective that formed through my Ruby and Agile software devleopment experience.	Kakutani Shintaro is a just another strong Ruby proponent, chief programmer in Eiwa System Management,Inc and an exective memger of Nihon Ruby-no-kai. He is one of the organizers of RubyKaigi since 2006. He have translated some english technical book into japanese: "Agile Estimating and Planning"(co-translator), "Interface Oriented Design"(suporvisor), "Practices of an Agile Developer"(co-suporvisor) and "From Java to Ruby"(translator).
19S07	2010-08-29	16:00 - 17:00	All about Erubis	Makoto Kuwata		Conference Room	1st Floor		Erubis is the fastest and multifunctional eRuby library. In this session, the author of Erubis introduces features of Erubis, issues other eRuby libraries have, and how to solved that issues by Erubis. In addition, I'll discuss about the future and ideal style of template system for web application. I hope you will know that there are many things to consider about eRuby and presentation layer.	(TBA)
	2010-08-29	17:00 - 17:10	Break		true					
19H07	2010-08-29	17:10 - 18:10	Keynote Address: Ruby, Nihon Ruby-no-Kai and me	Masayoshi Takahashi (Twinspark Co. Ltd. / Nihon Ruby-no-kai)		Hitotsubashi Memorial Hall	2nd Floor		As a older Rubyist, I will talk about the change of Ruby and change of mine caused by Ruby. Futhermore, as president of Nihon Ruby no Kai (Japan Ruby Group), I will talk about the past and future of the group.	Masayoshi Takahashi is web application developer of Twinspark Co. Ltd. in Shibuya. He is also the founder and president of Nihon Ruby-no-kai.
	2010-08-29	18:10 - 18:20	Closing			Hitotsubashi Memorial Hall	2nd Floor			
