code	date	time	title	speaker	break	room	floor	attention	abstract	profile
19H02	2010-08-29	09:30 - 12:00	Checking Interactively-Developed Code	Andriy Hnativ		一橋記念講堂	2F		The purpose of the Ruby interpreter, irb, is to develop and test code fragments that will eventually form a complete program.  Programming with irb is an interactive process, expected to provide immediate feedback from the Ruby interpreter, typically warnings and error messages that show inconsistencies or programming mistakes, when code is executed. However, a program fragment can be executed only when all dependent fragments are also written.  This may introduce a potentially substantial delay between programming and validation, filled with distractions from writing the needed dependent code.  As a result, error messages are emitted later than necessary, and may appear in other blocks of code than where the error originates.  Essentially, irb lacks a type checker:a system to infer types and check their consistency before code is executed. This is not surprising, given the obstacles that irb’s interactive code development raises for type checking.  As one develops a program, code fragments are written and re-written; each are difficult to validate in isolation, and complex to merge and re-check collectively.  We have implemented a system that reports type errors for incomplete irb programs, by verifying code blocks as they are developed, and checking that they mesh correctly with other code blocks as the developer changes and replaces them.  By using principal typings inference, our tool adds lightweight type checking to the Ruby language without changing the syntax.  As a result, coders will be able to reduce development time by more precisely locating errors at a better time in the development process.	Andriy Hnativ is a M.Sc. student studying programming languages at the University of Saskatchewan under the direction of Prof. Chris Dutchyn.  Among other things, he is interested in functional programming languages, open-source development, and dynamic languages, especially Ruby and Python.
19H03	2010-08-29	09:30 - 12:00	To the Edge of Web Performance and Beyond	Joshua Hull (AideRSS)		一橋記念講堂	2F		File caching, Memcache, Squid, Varnish and ESI have become common tools in arsenal of those pushing their application to millions of users a day. However, these strategies have not been without their drawbacks. Cache invalidation, and immature implementations within Ruby have hampered the support of these in the real world. Examining the current crop of tools and their limitations can shed light on both the problems and the solutions.  Whether you're serving a relatively small website or are managing a whole farm of servers, quick responses can make the difference between joy and user frustration.  This talk will discuss: "Current caching strategies and their strengths and weaknesses",  "Invalidation performance and the "dog-pile" effect" and "Real live working code - Plenty of benchmarks".  We will take a sample application through these various caching strategies, paying attention to ease of implementation and performance along the way. By employing EventMachine, Tokyo Cabinet, Tokyo Dystopia, Rack and some sweet syntactic sugar, we will find the easy, golden path for web performance.	Joshua is a Ruby developer at PostRank, a social engagement monitoring and analytics platform. Lately, he has been focusing on the performance of both Ruby and Rails and looking at how to improve the whole web stack. You can find what his brain is thinking about next at github (github.com/joshbuddy) and twitter (@joshbuddy).
19M01	2010-08-29	09:30 - 12:00	スクリプト言語Ruby	arton (日本Rubyの会)		中会議場	2F		人間とコンピュータの間を取り持つ手軽で便利でお洒落なツール――スクリプト言語という、最近では忘れられているような気もするRubyの面影をもう一度思い出してみませんか？ と懐古調なようでありながら、最近Rubyをさわりはじめた人に、なんでスクリプト言語が重要で、どんな風に役立つのかという点について説明したいと思います。	ソフトウェアエンジニア。仕事のプロダクトコードは主にJavaとC++。でも、ツールのコードは主にRuby。その他にプログラミング入門書のRuby1～3や、邪道編といった著作と、RubyのMSWin32用ディストリビューションのASRなど。
19M02	2010-08-29	09:30 - 12:00	ソケットライブラリの改善	田中 哲 (産業技術総合研究所)		中会議場	2F		標準添付のソケットライブラリの改善について述べる。現在のソケットライブラリはよく行うことは簡単にできるが、特殊なことを行おうとした場合に必要以上に難しくなる。たとえば、使用するクラスから変更しなければならず、その影響を調べてプログラム全体を修正しなければならないことがある。また、ソケットオプションなどはバイナリの文字列を扱うため、C言語で扱うよりも難しくなることがある。本発表では、簡単なことは現在と同程度で行えて、かつ、特殊なことも必要最小限な難しさで済むデザインについて述べる。実装は既に行われており、Ruby 1.9.2 で使用可能となる。	Ruby コミッタ。ソケットに限らず厄介なことに興味を持つ。
19M03	2010-08-29	09:30 - 12:00	あらためて仕事で使うRuby	後藤 謙太郎		中会議場	2F		(TBA)	(TBA)
19M04	2010-08-29	09:30 - 12:00	RubyGemsの落とし穴	西山 和広		中会議場	2F		RubyGemsはパッケージを簡単にインストールできて便利です。しかし、使い方によっては思わぬ落とし穴にはまって困ることがあります。そのはまった事例を紹介していきます。	(TBA)
	2010-08-29	09:30 - 12:00	 			特別会議室	1F	(この部屋の開始時刻は10:00です)		
19S01	2010-08-29	09:30 - 12:00	Regional RubyKaigiのご報告	角谷 信太郎(日本Rubyの会)		特別会議室	1F		RubyKaigi2008終了後のRejectKaigi2008で提案したプロジェクト、Regional RubyKaigi(地域Ruby会議)の1年間の活動を報告します。この約1年間に8都市で開催された Regional RubyKaigiの状況と今後についてお話しします。	ただのRuby厨。日本Rubyの会理事。Regional RubyKaigiプロジェクト発起人。るびま進行研修生。
19S02	2010-08-29	09:30 - 12:00	上海のRailsコミュニティー！　日本がぼやぼやしている間に、上海はアツイ！	天狗こと増満 工将 Koz Masumitsu　(天狗ソフトウェアディベロップメント)		特別会議室	1F		中国では初となる全国レベルのRubyConf.China2009の模様や、現地企業や現地のエンジニアとの交流について報告します。	中国江蘇省無錫市のRuby/Railsを主体とする開発会社　天狗ソフトウェアディベロップメントの総経理。Shanghaionrails、上海オフショア開発フォーラム、無錫日本人会会員
19S03	2010-08-29	09:30 - 12:00	Hello World From The Other Side Of Earth	Daniel Bovensiepen		特別会議室	1F		A trip through the german speaking ruby landscape. And a presentation about how we try to deal with the language gap between german and japanese.	Daniel Bovensiepen is developing software since 8 years for a company called Siemens AG. At the moment he is working for the R&D center of the mass transit department. He discovered Ruby around the turn of the millennium for the first time and felt a little bit in love with the language and the culture itself.
	2010-08-29	12:00 - 13:30	昼休み		true					
19H04	2010-08-29	13:30 - 15:30	How Lazy Americans Monitor Servers	James Edward Gray II (Highgroove Studios)		一橋記念講堂	2F		At my job we have to monitor a lot of servers.  That's too much like work for us lazy Americans though, so we wrote an intelligent agent to do all the hard stuff for us.  In this presentation, I'll take you deep inside the Scout server monitoring agent and show the techniques we used to build a daemon that runs constantly, executes arbitrary Ruby code we didn't write, and yet remains robust without crashing, leaking memory, or filling up your hard drive with data.  I'll show how to accomplish these goals with just some careful design and our friend Ruby.  Then you too can get paid for slacking off, just like me!	James has been a permanent fixture in the Ruby community for around five years now.  He created the Ruby Quiz and ran it for the first three years, developed FasterCSV and HighLine, and wrote some documentation for standard libraries.  James now works on Rails applications all day, including Scout from Highgroove Studios.
19H05	2010-08-29	13:30 - 15:30	Journey through a pointy forest: XML parsing in Ruby.	Aaron Patterson		一橋記念講堂	2F		Like it or not, angle brackets are here to stay.  At some point you will find yourself wading through a mess of them, trying to find a way out.  I will talk about how to deal with this prickly tree in Ruby without getting hurt. I will look at different XML and HTML parsing options available for Ruby, the pros and cons for each.  I'll also look at where XML parsing technology has come from, and the future of XML coexisting with Ruby. Finally, I will take an in-depth look at dealing with XML and HTML with Nokogiri and some of the advanced features of the library.	Aaron is a Senior Software Engineer for AT&T Interactive.  Aaron lives in Seattle and is an active member of Seattle.rb.  In his free time, he helps maintain Ruby packages including Nokogiri and Mechanize.  His hobbies include programming Ruby, playing piano, singing karaoke, and learning Japanese.  You may know him by one of his many pseudonyms including ひげの山男、ボディビル仮面、or カラオケ　チャンピオン.
19M05	2010-08-29	13:30 - 15:30	RubyならMacでしょう	Vincent Isambart -ヴァンサン・イザンバル-		中会議場	2F		MacRuby の現在と未来について紹介します。MacRuby は、Mac OS X のコア技術を使って作られた Ruby 実装の一つです。	ヴァンサンは長年のRuby使いで、最近MacRubyチームのコア開発者の一員となり、MacRuby 0.5の実装に関与しています。
19M06	2010-08-29	13:30 - 15:30	RubyCocoa/HotCocoa(RHC) ～RubyではじめるMac OS Xデスクトップアプリケーション開発～	高尾 宏治(ネットワーク応用通信研究所)		中会議場	2F		Mac OS X 10.5からデスクトップアプリケーションの開発言語としてRubyを選択できるようになりました。また、Mac OS Xに特化したRubyの実装であるMacRubyや、MacRubyのためのGUIライブラリであるHotCocoaの登場といったように、MacとRubyとの関係は今後もさらに深まっていくことでしょう。そこで、RubyとRubyCocoa、MacRubyとHotCocoaの組み合わせでのMac OS Xのデスクトップアプリケーションの開発について、画面デザイン、RubyとGUIとの連携、RubyCocoa、MacRuby、HotCocoaの実装や今後の展望について説明します。	ネットワーク応用通信研究所の研究員。MRIのreadlineライブラリのメンテナです。現在、RubyCocoaとHotCocoaに関する書籍を執筆しており、年内には出版されるはずです。こうご期待。
19M07	2010-08-29	13:30 - 15:30	RubyをつかったiPhoneアプリケーション開発	森 琢磨 (UICoderz)		中会議場	2F		MacOSXの世界では、RubyCocoaやMacRubyで、Rubyを用いてアプリ開発ができますが、同じOSXベースのOSであるiPhoneでは、これまでRubyでアプリを開発する手段がありませんでした。私が始めたRubyCocoaのforkプロジェクトである、RubyCocoa for iPhoneのご紹介と、RubyCocoa for iPhoneを使用した、実践的なiPhoneアプリの開発手法などをご紹介いたします。	最近は主にiPhoneアプリ開発周りを仕事にしています。フリーランスプログラマ。
19S04	2010-08-29	13:30 - 15:30	Ruby製アプリケーションを配布するn個の方法	原 悠 (yhara) ((株)ネットワーク応用通信研究所)		特別会議室	1F		実行にインタプリタが必要であるというスクリプト言語の宿命から、Rubyでデスクトップアプリケーションを実装する場合、その配布方法が問題になることが多い。さまざまなOS、さまざまな環境にRuby製アプリケーションを配布するためのさまざまな試みについて、その過去、現在、そして未来を紹介および考察する。	松江市在住。著書に「Rubyでつくる奇妙なプログラミング言語」。
19S05	2010-08-29	13:30 - 15:30	tDiary の Ruby 1.9 対応の過程と今後のロードマップ	柴田 博志 (tDiary.org)		特別会議室	1F		Rubyist に大人気の Web アプリケーションである tDiary は Ruby と共に進化をしてきました。2009年1月には待望の Ruby 1.9.1 がリリースされ、tDiary も Ruby 1.9 をサポートしました。本セッションでは tDiary が Ruby 1.9 サポートを達成するために取った作戦と手段をご紹介します。また、Ruby 1.9 対応後に計画されている testing framework の導入を柱とする今後のロードマップについてもご紹介したいと思います。	北海道在住のソフトウェアエンジニア。学生の頃から tDiary を使い続けているうちに開発チームの一員となる。
19S06	2010-08-29	13:30 - 15:30	Haml and Sass: Solution for you who get tired of ugly markup	浦嶌 啓太 (株式会社永和システムマネジメント)		特別会議室	1F		HamlとSassは各種Webアプリケーションフレームワークと組み合わせて使えるHTML/CSS生成ライブラリです。実際の業務でHaml/Sassを使ってきた経験を基に、何ができてどう嬉しいのかをお話しします。	日本Hamlの会代表。Rubyでプログラミングを学び、Rubyで仕事をしています。
	2010-08-29	15:30 - 16:00	休憩		true					
19H06	2010-08-29	16:00 - 17:00	Re-introduction to Ruby	前田 修吾		一橋記念講堂	2F		以前は、Rubyの処理系はまつもとさんが開発する処理系ただ一つであり、仕様と実装は一致していました。ところが、近年、処理系も複数の選択肢が提供されるようになって、その状況が変わりつつあります。本セッションでは、Rubyとは何か、という問題について改めて考えます。	Rubyアソシエーション副理事長。株式会社ネットワーク応用通信研究所取締役。
19M08	2010-08-29	16:00 - 17:00	Take the Red Pill	角谷 信太郎 (日本Rubyの会 || (株)永和システムマネジメント)		中会議場	2F		「Ward (Cunningham)、Kent (Beck)、それから、キレイなコード、うまく整理されたオブジェクト指向設計、そして、テストしやすさについて提唱してきたすべての人たちの価値が……Ruby界では……『正統』(orthodoxy)になっている。」とMartin Fowlerは言いました。これは、(数は多くありませんが)私のRubyConfへの参加経験からも実感できます。では、日本のRuby界――というかRubyKaigiで、こうした「価値」はどれぐらい正統になっているのでしょうか？ 本セッションではこれらの「Ruby界では正統とされている価値」を、ひとつの視点から整理します。それはテスト駆動開発です。言語、ツール、フレームワーク、開発プロセス、そのすべてを取り巻く「全体」をつかむ手がかりを示したいと思います。	ただのRuby厨。(株)永和システムマネジメント サービスプロバイディング事業部チーフプログラマ。日本Rubyの会理事。RubyKaigiの運営を2006年からやってます。著書は『アジャイルな見積りと計画づくり』(共同翻訳)、『インターフェイス指向設計』(監訳)、『アジャイルプラクティス』(共同監訳)、『JavaからRubyへ』(翻訳)。
19S07	2010-08-29	16:00 - 17:00	Erubis徹底解説	桑田 誠		特別会議室	1F		Erubisとは、高性能かつ多機能なeRubyのライブラリです。本セッションでは、特にErubisの多機能性に着目し、従来のeRuby処理系がどのような問題を抱えており、それをErubisがどう解決したかを紹介します。またこれに絡み、Web用テンプレートシステムの将来について考察します。たかがeRubyごときでこんなに考えなきゃいけないことがあるのかと知っていただければ幸いです。	(TBA)
	2010-08-29	17:00 - 17:10	休憩		true					
19H07	2010-08-29	17:10 - 18:10	基調講演: Rubyと私、そして日本Rubyの会	高橋 征義(株式会社ツインスパーク／日本Rubyの会)		一橋記念講堂	2F		前世紀からRubyを使っている古参Rubyistの一人として、Rubyの変遷についての所見を、そして日本Rubyの会の代表として活動の総括と今後について紹介する。	株式会社ツインスパークにてWebアプリケーション開発を行う傍ら、日本Rubyの会の創設に関わり、現在同会会長をつとめる。
	2010-08-29	18:10 - 18:20	Closing			一橋記念講堂	2F			
